Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric",-57.150000,-61.468000,270.000000,bottom
"C2","0.1uF","C_0805_2012Metric",-56.356250,-89.408000,90.000000,bottom
"C3","0.1uF","C_0805_2012Metric",-57.150000,-108.458000,90.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-56.356250,-127.508000,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-56.356250,-146.558000,90.000000,bottom
"C6","0.1uF","C_0805_2012Metric",-65.881250,-165.354000,90.000000,bottom
"C7","0.1uF","C_0805_2012Metric",-75.406250,-89.408000,90.000000,bottom
"C8","0.1uF","C_0805_2012Metric",-75.406250,-108.458000,90.000000,bottom
"C9","0.1uF","C_0805_2012Metric",-75.406250,-127.508000,90.000000,bottom
"C10","0.1uF","C_0805_2012Metric",-75.406250,-146.558000,90.000000,bottom
"C11","0.1uF","C_0805_2012Metric",-94.456250,-89.408000,90.000000,bottom
"C12","0.1uF","C_0805_2012Metric",-94.456250,-108.458000,90.000000,bottom
"C13","0.1uF","C_0805_2012Metric",-94.456250,-127.508000,90.000000,bottom
"C14","0.1uF","C_0805_2012Metric",-94.456250,-146.558000,90.000000,bottom
"C15","0.1uF","C_0805_2012Metric",-94.456250,-165.608000,90.000000,bottom
"C16","0.1uF","C_0805_2012Metric",-113.506250,-89.408000,90.000000,bottom
"C17","0.1uF","C_0805_2012Metric",-115.887500,-105.568750,180.000000,bottom
"C18","0.1uF","C_0805_2012Metric",-115.887500,-143.668750,0.000000,bottom
"D1","D_Small","D_SOD-123",-71.437500,-56.197500,90.000000,bottom
"D2","D_Small","D_SOD-123",-71.437500,-84.137500,90.000000,bottom
"D3","D_Small","D_SOD-123",-71.437500,-103.187500,90.000000,bottom
"D4","D_Small","D_SOD-123",-71.437500,-122.237500,90.000000,bottom
"D5","D_Small","D_SOD-123",-71.437500,-141.287500,90.000000,bottom
"D6","D_Small","D_SOD-123",-80.962500,-160.337500,90.000000,bottom
"D7","D_Small","D_SOD-123",-90.487500,-84.137500,90.000000,bottom
"D8","D_Small","D_SOD-123",-90.487500,-103.187500,90.000000,bottom
"D9","D_Small","D_SOD-123",-90.487500,-122.237500,90.000000,bottom
"D10","D_Small","D_SOD-123",-90.487500,-141.287500,90.000000,bottom
"D11","D_Small","D_SOD-123",-109.537500,-84.137500,90.000000,bottom
"D12","D_Small","D_SOD-123",-109.220000,-104.648000,90.000000,bottom
"D13","D_Small","D_SOD-123",-108.458000,-125.856000,90.000000,bottom
"D14","D_Small","D_SOD-123",-109.220000,-142.748000,90.000000,bottom
"D15","D_Small","D_SOD-123",-108.712000,-163.830000,90.000000,bottom
"D16","D_Small","D_SOD-123",-128.587500,-84.137500,90.000000,bottom
"D17","D_Small","D_SOD-123",-120.650000,-158.750000,0.000000,bottom
"D18","D_Small","D_SOD-123",-120.650000,-120.650000,0.000000,bottom
"D19","D_Small","D_SOD-123",-116.681250,-56.197500,90.000000,bottom
